year,date_yyyy.mm.dd,survey,team,species,sex,activity_type,km_marker,beach_zone,gpse,gpsn,gps_accuracy_m,nest_id,egg_chamber_triangulated,direction_nesting,north_m,centre_m,south_m,htl_m,triangulated_by,activity_comments,record_type,encounter_activity,encounter_time_hh.mm.ss,turtle_id,right_tag,left_tag,removed_right_tag,removed_left_tag,right_oth_y_n,right_otn_y_n,left_oth_y_n,left_otn_y_n,right_tagger,left_tagger,tagging_comments,ccl_min1_cm,ccl_min2_cm,ccl_min3_cm,ccl_min_avg_cm,ccl_min_measured_by,ccw_max1_cm,ccw_max2_cm,ccw_max3_cm,ccw_max_avg_cm,ccw_max_measured_by,x1,x2,x3,x4,x5,x6,x7,x8,caudal_projection_complete,fibropapillomas,body_check_comments,number_yolked_eggs,number_yolkless_eggs,number_total_eggs,eggs_counted_by,egg_depth_cm,nest_depth_cm,relocated_km_marker,relocated_beach_zone,relocated_north_m,relocated_centre_m,relocated_south_m,relocated_htl_m,relocated_chamber_depth_cm,relocated_chamber_width_cm,relocated_gpse,relocated_gpsn,relocated_comments,data_comments,julian_time
2006,2006-04-05,PM1,,DC,F,NST,5,O,223434,1172985,,NTRI06012,FALSE,W,,,,,,NA,REC,Emerging from sea,00:05:00,06-0008,VA8211,VA8212,,,1,0,0,0,AB,AB,una placa doblada va8209.,153,153,152.9,152.97,,107.5,107.5,107.5,107.5,,,,,,,,,,TRUE,,2 4 6 - small cuts.,67,32,99,,,,,,,,,,,,,,,,13243
2006,2006-04-09,PM1,,DC,F,NST,13,O,222781,1174546,,NTRI06013,FALSE,W,,,,,,NA,REN,Digging egg chamber,23:26:00,06-0002,VA2495,VA8210,,VA2494,0,0,1,0,,AB,left tag removed because of oth.,149.2,149.2,149.1,149.17,,107,107,107,107,,,,,,,,,,TRUE,,2 4 6 - cuts.,69,28,97,,,,,,,,,,,,,,,,13247
2006,2006-04-09,AM,,DC,F,NST,23,O,222086,1176286,,NTRI06014,FALSE,,,,,,,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13247
2006,2006-04-10,PM1,,DC,F,NST,14,O,222748,1174648,,NTRI06015,FALSE,W,,,,,,NA,REX,Emerging from sea,01:10:00,06-0009,VA2256,VA2230,,,0,0,0,0,,,,151.8,151.7,151.7,151.73,,115,115,115,115,,,,,,,,,,TRUE,,"2 4 - cuts.. 8 - 4 cuts.",94,14,108,,,,,,,,,,,,,,,,13248
2006,2006-04-10,AM,,DC,F,NST,17,B,222507,1175237,,NTRI06016,FALSE,,,,,,,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13248
2006,2006-04-11,AM,,DC,F,NST,8,O,223187,1173590,,NTRI06017,FALSE,,,,,,,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13249
2006,2006-04-12,AM,,DC,F,NST,22,B,222119,1176218,,NTRI06018,FALSE,,,,,,,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13250
2006,2006-04-15,AM,,DC,F,NST,11,O,222975,1174105,,NTRI06019,FALSE,,,,,,,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13253
2006,2006-04-17,PM1,,DC,F,NST,3,O,223608,1172609,,NTRI06020,FALSE,W,,,,,,NA,REC,Digging body pit,00:04:00,06-0010,VA8213,VA8214,,,0,0,0,0,LC,LC,tagged when digging body pit.,152,151.9,152,151.97,,107.1,107,107,107.03,,,,,,,,,,TRUE,,,95,12,107,,,,,,,,,,,,,,,,13255
2006,2006-04-18,PM1,,DC,F,NST,12,O,222865,1174364,,NTRI06021,FALSE,SE,,,,,,NA,REC,Oviposition,23:24:00,06-0011,VA8217,VA8218,,,0,0,1,0,AB,AB,,152.7,152.6,152.7,152.67,,110,110,110,110,,,,,,,,,,TRUE,,"2 4 6 8 - bite marks. when she came back to the water she laid 4 small eggs (vanos).",,10,,,,,,,,,,,,,,,,,13256
